Algorithm,Preprocessing,Clusters,Silhouette,Calinski-Harabasz,Davies-Bouldin
KMeans,original,3,0.6695939093799408,1253.8645507575184,0.5727505055537567
Hierarchical,original,3,0.5082541979862977,1089.9294356799096,0.6314289134608416
KMeans,original,4,0.5334614737117133,1465.6728614582266,0.6176931105690915
Hierarchical,original,4,0.5090031014228603,1245.5676253126308,0.6090629759960566
KMeans,original,5,0.510229299790784,1621.0110530063253,0.614500875614074
Hierarchical,original,5,0.5114445846680877,1541.8594977639382,0.6114068077601039
MeanShift,original,6,0.6269815369508928,637.9866102587793,0.5121912464490966
KMeans,normalize,3,0.3143840098608098,197.1140002277671,1.529388376780795
Hierarchical,normalize,3,0.33009721062922587,182.17394580771122,1.556389937521331
KMeans,normalize,4,0.28330544840954164,158.88059720435186,1.4894383053016074
Hierarchical,normalize,4,0.2981990434923712,138.0904905326867,1.4848329611949307
KMeans,normalize,5,0.15821041754355697,140.22040276812453,1.7560130714033817
Hierarchical,normalize,5,0.24340428427139352,116.73504473765576,1.6247164235551501
MeanShift,normalize,14,0.26538486009784545,23.944171597005962,1.169970972455942
KMeans,transform,3,0.22329369510591965,209.98237090297383,1.6645331320395609
Hierarchical,transform,3,0.1975801568038604,188.11027086050683,1.74370645865658
KMeans,transform,4,0.1811658600457649,170.522138994786,1.6970561678249494
Hierarchical,transform,4,0.14830131418380313,153.82622793898395,1.8860070755754141
KMeans,transform,5,0.1588160450496332,150.0395291320356,1.7720651362847235
Hierarchical,transform,5,0.14120953583714896,129.4762148671839,1.859757970376954
MeanShift,transform,2,0.2444171212869738,16.73569638418801,1.1950786758688494
KMeans,pca,3,0.6710100390313818,1265.253745338203,0.5679037333895098
Hierarchical,pca,3,0.5188638624299643,1089.9401953267418,0.6150823066379718
KMeans,pca,4,0.5366126120762756,1485.793460925414,0.6118192086451522
Hierarchical,pca,4,0.5273895388735974,1369.4194498211154,0.5861939649455623
KMeans,pca,5,0.5166104285353056,1649.1968485860675,0.6113020445397161
Hierarchical,pca,5,0.47840539074996746,1421.9064793254638,0.592307973181846
MeanShift,pca,6,0.6289495181473839,642.0198478105127,0.5122520727813441
KMeans,T+N,3,0.22329369510591965,209.9823709029738,1.6645331320395609
Hierarchical,T+N,3,0.1975801568038604,188.11027086050686,1.74370645865658
KMeans,T+N,4,0.18116586004576488,170.52213899478605,1.6970561678249494
Hierarchical,T+N,4,0.14830131418380313,153.82622793898395,1.886007075575414
KMeans,T+N,5,0.1588160450496332,150.0395291320356,1.7720651362847235
Hierarchical,T+N,5,0.141209535837149,129.4762148671839,1.859757970376954
MeanShift,T+N,2,0.2444171212869738,16.735696384188007,1.195078675868849
KMeans,T+N+PCA,3,0.3783278908555683,511.08459967435346,0.9802989723651043
Hierarchical,T+N+PCA,3,0.3914160894912466,446.28861888239555,0.9185358911909813
KMeans,T+N+PCA,4,0.34368130949718584,464.19162994873756,0.9530609444676876
Hierarchical,T+N+PCA,4,0.29077101055730536,406.69087591619837,1.1581902464645701
KMeans,T+N+PCA,5,0.33635246627363885,460.293425191602,0.9192673832135
Hierarchical,T+N+PCA,5,0.3210079922233646,415.7769748284726,0.9486191623698741
